RouteName,RouteID,Station1,Station2,Station3,Station4,Station5,Station6,Station7,Station8,Station9,Station10,Station11,Station12,Station13,Station14,Station15,Station16,Station17,Station18,Station19,Station20,Station21,Station22,Station23,Station24,Station25,Station26,Station27,Station28,Station29,Station30,Station31,Station32,Station33,Station34,Station35,Station36,Station37,Station38,Station39,Station40,Station41,Station42,Station43,Station44,Station45,Station46,Station47,Station48,Station49,Station50,Station51,Station52,Station53,Station54,Station55,Station56,Station57,Station58,Station59,Station60,Station61,Station62,Station63,Station64,Station65,Station66,Station67,Station68,Station69,Station70,Station71,Station72,Station73,Station74,Station75,Station76,Station77,Station78,Station79,Station80,Station81,Station82,Station83,Station84,Station85,Station86,Station87,Station88,Station89,Station90,Station91,Station92,Station93,Station94,Station95,Station96,Station97,Station98,Station99,Station100,Station101,Station102,Station103,Station104,Station105,Station106,Station107,Station108,Station109,Station110,Station111,Station112,Station113,Station114,Station115,Station116,Station117,Station118,Station119,Station120,Station121,Station122,Station123,Station124,Station125,Station126,Station127,Station128,Station129,Station130,Station131,Station132
0東,0100000A00,瑞湖街口,麗寶大樓,公館山,瑞光路,內湖運動中心,港墘派出所,西湖圖書館(湖光教會),湖光國宅,捷運文德站(碧湖公園),內湖高中,方濟中學,將軍嶺,三總內湖站,國防醫學中心,內湖行政大樓,三民國中,時報廣場,民權大橋,新益里,民生國中,新東街口,三民路,三民健康路口(西松高中),健康新城,長壽公園,三軍總醫院松山分院,南京新村,博仁醫院,光復路口,美仁里,臺視,市民敦化路口,忠孝敦化路口,仁愛敦化路口,信義敦化路口,信義大安路口,捷運大安站(信義),師大附中,信義建國路口,捷運大安森林公園站,信義新生路口,信義永康街口,捷運東門站,信義杭州路口,中正紀念堂,捷運台大醫院站,博物館(館前),臺北車站(忠孝),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0南,0100000B00,萬芳社區,萬芳活動中心,萬芳國小,萬芳6號公園,萬利街口,棕櫚泉社區,文山運動中心(萬芳),臺灣警察專科學校,捷運萬芳醫院站,中國科技大學(興隆),興隆國小,興德國小,興隆市場,靜心高中,憲光公寓,景明街口,武功國小(興隆),師大分部,捷運公館站,臺大,臺大綜合體育館,溫州街口,師大綜合大樓,師大,金山潮州街口,公企中心,捷運東門站(金山),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0100000100,華江站,人壽一村,大理高中,華江派出所,中國時報,捷運龍山寺站,昆明街口,和平中華路口,植物園,建國中學,自來水西分處(寧波),聯合醫院婦幼院區一,南昌家具街,羅斯福金門街口,羅斯福浦城街口,捷運台電大樓站,台電大樓,捷運公館站,公館,臺灣科技大學,臺大癌醫(基隆路),基隆長興街口,和平高中,捷運六張犁站(基隆路),喬治商職,三興國小(臨江街觀光夜市),吳興街口,世貿中心(莊敬),景新里,臺北醫學大學,信義國中(莊敬),吳興國小(莊敬),松仁路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0100000200,富洲里,台北海大,浮線,富洲里九段,威靈廟,下溪沙尾,建安新村,富安國小,富洲里八段,福安國中,臨江園,地藏禪寺,下竹圍,福安區民活動中心,福安里,普濟堂,社子國小二,社子國小,永倫里(南),社子派出所,社子市場二,社子市場,葫蘆寺(葫蘆里),葫蘆堵市場,海光新村,社子消防分隊,污水處理廠,老師里,酒泉街,民族重慶路口,昌吉重慶路口,捷運大橋頭站,涼州重慶路口,民生重慶路口,朝陽公園(鈕釦街),圓環(南京),臺北車站(承德),臺北車站(鄭州),行政院,臺大醫院,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0100000500,中和保養廠,家美工業區,捷運中和站(中山路),一江新村,中和農會(中和路),中和廟口,中和派出所,南山高中,雙和里,華泰新城(宜安路),宜安路,安平路,潭墘,823紀念公園,永安市場,自強街口,樂華夜市,捷運頂溪站,中正橋頭,重慶南路三段(中正橋),福州街,自來水西分處(牯嶺),南昌路,南門,一女中(公園),捷運台大醫院站,臺北車站(青島),行政院,中山市場,南京林森路口,南京吉林路口,捷運松江南京站,長春松江路口,民生松江路口,合江街口,臺北大學(臺北校區),捷運中山國中站,民權龍江路口,民權建國路口,民權松江路口,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0400000800,捷運新店站(新店路),溪頭,大坪頂,頂城,胡璉故居紀念館,下城社區,安華路口,輕軌安康站,及人中學,十四份,光華街口,輕軌陽光運動公園站,石頭厝,安和路二段,陽光運動公園(新店花市),永平里,輕軌新和國小站(水工大樓),新和國小,三介廟,景新街,欣欣向榮(景新街),景新街口,捷運景安站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0100000900,社子國小,永倫里(南),社子派出所,社子市場二,社子市場,葫蘆寺(葫蘆里),葫蘆堵市場,海光新村,社子消防分隊,污水處理廠,老師里,酒泉街,民族重慶路口,昌吉重慶路口,捷運大橋頭站,涼州重慶路口,保安街口,民生西路口(大稻埕碼頭),南京西路口(鈕釦街),南京西路口(塔城),聯合醫院中興院區(塔城),捷運北門站,中華路北站,捷運西門站,小南門,龍山國中,昆明街口,龍山寺(康定),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0100001200,華中河濱公園,果菜市場,光仁國小,青年路派出所,青年路,中正新城,青年社區,青年公園(青年),青年公園(國興),國興路口一,國興路口,中華南海路口,南機場公寓,廈安里,大埔街,聯合醫院和平院區,捷運西門站,中華路北站,捷運北門站,延平一站(長安),圓環(重慶),圓環(南京),捷運中山站(志仁高中),南京林森路口,南京吉林路口,捷運松江南京站,長春國小,臺北大學(臺北校區),長春市場,慶城街口,長庚醫院,公教住宅,介壽國中,聯合二村,民生社區活動中心,廣合新村,三民國小,新益里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0100001400,蘆洲站,和平路口,蘆洲監理站(中正路),蘆洲國小,中原公寓,空中大學(中正路),王爺廟口,民族路口,捷運蘆洲站,捷運蘆洲站,長榮路,永平市場,永樂街,長安街,成功國小,永康公園,長安街一,忠義廟,延平里,九芎街,九芎廟,九芎街口,永安里,大同新村,褒仔寮,穀保家商,仙公廟,博愛新村,三重商工(中正北路),忠孝三民街口,東海中學,三民街,三重稅捐分處,菜寮(重陽路),菜寮(重新路),捷運菜寮站,中山藝術公園,中正南路,重安街口,臺北車站(鄭州),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0100001800,華江站,人壽一村,大理高中,華江派出所,龍山國小,萬華分局,桂林路,昆明活動中心,內江街,西門市場(漢中),寶慶路,博愛路,臺北郵局,臺北車站(忠孝),臺大醫院,捷運中正紀念堂站(中山),捷運中正紀念堂站(勞保局),自來水西分處(寧波),聯合醫院婦幼院區一,南昌家具街,捷運古亭站(和平),師大,師大綜合大樓,溫州街口,大安森林公園,龍門國中(和平),復興南路口,國立臺北教育大學,臥龍街,和平安和路口,捷運六張犁站(和平),富陽街口,黎忠市場,捷運麟光站,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0100002000,永春高中,松山商職(松山),國業里,國稅局宿舍,捷運象山站,信義松仁路口(松仁),松壽路口,市政府(松壽),世貿中心(基隆路),信義光復路口,信義通化街口,捷運信義安和站(信義),信義敦化路口,信義大安路口,捷運大安站(信義),師大附中,信義建國路口,捷運大安森林公園站,信義新生路口,信義永康街口,捷運東門站,信義杭州路口,中正紀念堂,捷運台大醫院站,博物館(襄陽),衡陽路口,衡陽路,捷運西門站,小南門,聯合醫院和平院區,大埔街,廈安里,南機場公寓,中華南海路口,國興路口,古亭國中,萬華醫院,青年公園(交通教學區),青年公園(馬場町),青年社宅,青年路,中正新城,青年社區,青年公園(青年),青年公園(國興),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0100002100,捷運圓山站,臺北市立美術館,圓山大飯店,中央電台,忠烈祠,經國七海文化園區,堤頂大道口,基湖站,基湖路口,仁寶大樓,瑞光路393巷,捷運港墘站(內湖高工),西湖圖書館(湖光教會),內湖國小,達人高中(臺灣戲曲學院),內湖派出所,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
