資料日期,幣別,本行買入,本行買入現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,本行賣出,本行賣出現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20250325,USD,本行買入,32.68000,33.03000,33.00700,32.93200,32.84700,32.76200,32.67500,32.59900,32.51700,本行賣出,33.35000,33.13000,33.11300,33.04500,32.97100,32.89900,32.82500,32.75900,32.68800,
20250324,USD,本行買入,32.63500,32.98500,32.96200,32.88700,32.80200,32.71700,32.63000,32.55400,32.47200,本行賣出,33.30500,33.08500,33.06800,33.00000,32.92600,32.85400,32.78000,32.71400,32.64300,
20250321,USD,本行買入,32.60000,32.95000,32.92700,32.86500,32.76700,32.68800,32.59800,32.50800,32.42500,本行賣出,33.27000,33.05000,33.03300,32.98100,32.89700,32.82500,32.74600,32.67000,32.60000,
20250320,USD,本行買入,32.61000,32.96000,32.93700,32.87500,32.77700,32.69800,32.60800,32.51800,32.43500,本行賣出,33.28000,33.06000,33.04300,32.99100,32.90700,32.83500,32.75600,32.68000,32.61000,
20250319,USD,本行買入,32.64500,32.99500,32.97200,32.91000,32.81200,32.73300,32.64300,32.55300,32.47000,本行賣出,33.31500,33.09500,33.07800,33.02600,32.94200,32.87000,32.79100,32.71500,32.64500,
20250318,USD,本行買入,32.60000,32.95000,32.92700,32.86500,32.76700,32.68800,32.59800,32.50800,32.42500,本行賣出,33.27000,33.05000,33.03300,32.98100,32.89700,32.82500,32.74600,32.67000,32.60000,
20250317,USD,本行買入,32.61500,32.96500,32.94200,32.88000,32.78200,32.70300,32.61300,32.52300,32.44000,本行賣出,33.28500,33.06500,33.04800,32.99600,32.91200,32.84000,32.76100,32.68500,32.61500,
20250314,USD,本行買入,32.56000,32.91000,32.88700,32.82500,32.72700,32.64800,32.55800,32.46800,32.38500,本行賣出,33.23000,33.01000,32.99300,32.94100,32.85700,32.78500,32.70600,32.63000,32.56000,
20250313,USD,本行買入,32.57000,32.92000,32.89700,32.83500,32.73700,32.65800,32.56800,32.47800,32.39500,本行賣出,33.24000,33.02000,33.00300,32.95100,32.86700,32.79500,32.71600,32.64000,32.57000,
20250312,USD,本行買入,32.56000,32.91000,32.88700,32.82500,32.72700,32.64800,32.55800,32.46800,32.38500,本行賣出,33.23000,33.01000,32.99300,32.94100,32.85700,32.78500,32.70600,32.63000,32.56000,
20250311,USD,本行買入,32.49000,32.84000,32.81700,32.75500,32.65700,32.57800,32.48800,32.39800,32.31500,本行賣出,33.16000,32.94000,32.92300,32.87100,32.78700,32.71500,32.63600,32.56000,32.49000,
20250310,USD,本行買入,32.52000,32.87000,32.84700,32.78500,32.68700,32.60800,32.51800,32.42800,32.34500,本行賣出,33.19000,32.97000,32.95300,32.90100,32.81700,32.74500,32.66600,32.59000,32.52000,
20250307,USD,本行買入,32.44000,32.79000,32.76700,32.70500,32.60700,32.52800,32.43800,32.34800,32.26500,本行賣出,33.11000,32.89000,32.87300,32.82100,32.73700,32.66500,32.58600,32.51000,32.44000,
20250306,USD,本行買入,32.45500,32.80500,32.78200,32.72000,32.62200,32.54300,32.45300,32.36300,32.28000,本行賣出,33.12500,32.90500,32.88800,32.83600,32.75200,32.68000,32.60100,32.52500,32.45500,
