資料日期,幣別,匯率,本行買入現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,本行買入現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
20250325,USD,本行買入,32.68,33.03,33.007,32.932,32.847,32.762,32.675,32.599,32.517,本行賣出,33.35,33.13,33.113,33.045,32.971,32.899,32.825,32.759,32.688
20250324,USD,本行買入,32.635,32.985,32.962,32.887,32.802,32.717,32.63,32.554,32.472,本行賣出,33.305,33.085,33.068,33,32.926,32.854,32.78,32.714,32.643
20250321,USD,本行買入,32.6,32.95,32.927,32.865,32.767,32.688,32.598,32.508,32.425,本行賣出,33.27,33.05,33.033,32.981,32.897,32.825,32.746,32.67,32.6
20250320,USD,本行買入,32.61,32.96,32.937,32.875,32.777,32.698,32.608,32.518,32.435,本行賣出,33.28,33.06,33.043,32.991,32.907,32.835,32.756,32.68,32.61
20250319,USD,本行買入,32.645,32.995,32.972,32.91,32.812,32.733,32.643,32.553,32.47,本行賣出,33.315,33.095,33.078,33.026,32.942,32.87,32.791,32.715,32.645
20250318,USD,本行買入,32.6,32.95,32.927,32.865,32.767,32.688,32.598,32.508,32.425,本行賣出,33.27,33.05,33.033,32.981,32.897,32.825,32.746,32.67,32.6
20250317,USD,本行買入,32.615,32.965,32.942,32.88,32.782,32.703,32.613,32.523,32.44,本行賣出,33.285,33.065,33.048,32.996,32.912,32.84,32.761,32.685,32.615
20250314,USD,本行買入,32.56,32.91,32.887,32.825,32.727,32.648,32.558,32.468,32.385,本行賣出,33.23,33.01,32.993,32.941,32.857,32.785,32.706,32.63,32.56
20250313,USD,本行買入,32.57,32.92,32.897,32.835,32.737,32.658,32.568,32.478,32.395,本行賣出,33.24,33.02,33.003,32.951,32.867,32.795,32.716,32.64,32.57
20250312,USD,本行買入,32.56,32.91,32.887,32.825,32.727,32.648,32.558,32.468,32.385,本行賣出,33.23,33.01,32.993,32.941,32.857,32.785,32.706,32.63,32.56
20250311,USD,本行買入,32.49,32.84,32.817,32.755,32.657,32.578,32.488,32.398,32.315,本行賣出,33.16,32.94,32.923,32.871,32.787,32.715,32.636,32.56,32.49
20250310,USD,本行買入,32.52,32.87,32.847,32.785,32.687,32.608,32.518,32.428,32.345,本行賣出,33.19,32.97,32.953,32.901,32.817,32.745,32.666,32.59,32.52
20250307,USD,本行買入,32.44,32.79,32.767,32.705,32.607,32.528,32.438,32.348,32.265,本行賣出,33.11,32.89,32.873,32.821,32.737,32.665,32.586,32.51,32.44
20250306,USD,本行買入,32.455,32.805,32.782,32.72,32.622,32.543,32.453,32.363,32.28,本行賣出,33.125,32.905,32.888,32.836,32.752,32.68,32.601,32.525,32.455
